sequence_id,num_annotations,num_unique_frames,visibility_mean,visibility_median,bbox_area_ratio_mean,bbox_area_ratio_median
000048,375,75,0.9552237679251478,0.9929140832595217,0.05729573784722223,0.05979166666666667
000049,300,75,0.8096372724393435,0.9658786215018074,0.0736120876736111,0.07548828125
000050,375,75,0.8937875157470851,0.9980860022967972,0.09498512152777777,0.084306640625
000051,375,75,0.862898446706888,0.8668492624093028,0.09059655381944447,0.0796875
000052,225,75,0.9874702952044138,0.9980924596050269,0.10753389756944444,0.0805078125
000053,225,75,0.9419074163728426,0.9970791864993509,0.06127581018518519,0.05591145833333333
000054,375,75,0.860174431883134,0.9445238338266816,0.11557026041666668,0.1135546875
000055,450,75,0.8615196060005633,0.8414651298143594,0.06593199508101852,0.069609375
000056,300,75,0.9265350951348245,0.9782463902405534,0.14616497395833336,0.13105794270833335
000057,375,75,0.9359729989561211,0.996805500623688,0.07370095486111113,0.05180338541666667
000058,300,75,0.8228001116627477,0.8412969326308184,0.11231574435763889,0.08765950520833332
000059,450,75,0.9297703160183844,0.9978029668689736,0.09123258825231483,0.04616536458333333
