object_id,num_annotations,num_unique_frames,visibility_mean,visibility_median,bbox_area_ratio_mean,bbox_area_ratio_median
1,300,300,0.8995180549817167,0.8968112355494611,0.08575843098958333,0.08168294270833333
2,225,225,0.7224792943475187,0.7127350085457653,0.15926344039351853,0.15787760416666666
3,375,375,0.8892613515469033,0.9979199460310322,0.10507962673611111,0.09901692708333333
4,450,450,0.91588677014283,0.9985282662035132,0.04525853587962963,0.04502115885416667
5,150,150,0.9975721662819431,0.9992022539866694,0.08715210503472222,0.08943359375
6,300,300,0.9984611335088105,0.9994235994163512,0.030157714843750003,0.029052734375
7,75,75,0.6284430973472035,0.6154578336188844,0.07098224826388888,0.06596354166666667
8,75,75,0.9880673107670308,1.0,0.04691167534722223,0.04450846354166667
9,225,225,0.7680069058909491,0.7827376645926784,0.047759866898148144,0.050022786458333336
10,150,150,0.9261940430411854,0.9872564009983321,0.06315967881944445,0.06407063802083333
11,225,225,0.9769899790882333,0.9820590143909608,0.23317702546296296,0.2248828125
12,300,300,0.8758031679793561,0.9568176390884597,0.11228554687499999,0.10931803385416666
13,150,150,0.8250347549724283,0.8155060209822559,0.09055128038194445,0.09709472656250001
14,150,150,0.9913923163543075,0.9955874059468732,0.043488042534722215,0.03987141927083333
15,300,300,0.9527373856265066,0.9903584495862943,0.1611291232638889,0.1592236328125
16,75,75,0.7357670061611952,0.745531880086704,0.09563068576388889,0.09298828125
17,75,75,0.6793260252986894,0.642038652300325,0.06647608506944445,0.06703125
18,150,150,0.9971173980036914,1.0,0.032347829861111115,0.026910807291666665
19,150,150,0.937053361890792,0.974917667431719,0.06845618489583336,0.06452473958333334
20,150,150,0.8904857810269174,0.9756222780223228,0.09029802517361112,0.08352701822916667
21,75,75,0.9006104222111878,0.9187826086956522,0.032750390625,0.030576171875
