attribute,count,missing,min,q25,median,q75,max,mean,std
visibility_fraction,4125,0,0.07539191419141915,0.8042639593908629,0.9902294698455293,0.9990650322044463,1.0,0.896582697997909,0.15550976778680434
invisible_fraction,4125,0,0.0,0.0009349677955536873,0.009770530154470713,0.19573604060913707,0.9246080858085809,0.10341730200209096,0.1555097677868043
occlusion_ratio,0,4125,nan,nan,nan,nan,nan,nan,nan
truncation_ratio,0,4125,nan,nan,nan,nan,nan,nan,nan
bbox_area_ratio,4125,0,0.008873697916666666,0.046923828125,0.07337239583333334,0.11440104166666666,0.34567057291666664,0.0897914725378788,0.057249254625553844
visible_area_ratio,4125,0,0.0023795572916666665,0.029752604166666665,0.045940755208333336,0.072412109375,0.22653645833333333,0.05528053661616161,0.03719585727476514
translation_delta,4070,55,0.00017184089313155088,0.0031801861719439797,0.00693689218213797,0.01306917151775872,0.1730089589277709,0.012598737186304786,0.017612371346396472
rotation_delta_deg,4070,55,0.0,0.2814937620810127,0.5876901633348288,1.1549945487189865,34.55090428907429,1.3400067023019877,2.369545000514617
translation_velocity,0,4125,nan,nan,nan,nan,nan,nan,nan
rotation_velocity_deg,0,4125,nan,nan,nan,nan,nan,nan,nan
frame_id_delta,4070,55,1.0,3.0,7.0,15.0,912.0,21.985257985257984,51.941649163346135
nearest_reference_rotation_deg,0,4125,nan,nan,nan,nan,nan,nan,nan
nearest_reference_translation,0,4125,nan,nan,nan,nan,nan,nan,nan
sharpness_proxy,4125,0,244.79524134503046,1847.1392996089276,2919.5655516735264,4274.784931286317,10911.551343440784,3168.48975362509,1684.2553699057275
num_visible_objects,4125,0,3.0,4.0,5.0,5.0,6.0,4.781818181818182,0.9083633452215852
num_instances,4125,0,3.0,4.0,5.0,5.0,6.0,4.781818181818182,0.9083633452215852
bbox_overlap_count,4125,0,0.0,1.0,2.0,3.0,4.0,1.8826666666666667,0.9657417518742427
max_bbox_iou,4125,0,0.0,0.0658295632905549,0.14364430932927988,0.2496954933008526,0.6220943049601959,0.17526045792439865,0.13892310334758715
