dataset,split,scene_id,sequence_id,frame_id,frame_uid,gt_id,object_id,rgb_path,image_width,image_height,gt_tx_m,gt_ty_m,gt_tz_m,gt_tx,gt_ty,gt_tz,visibility_fraction,invisible_fraction,occlusion_ratio,truncation_ratio,px_count_all,px_count_valid,px_count_visib,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area_ratio,visible_area_ratio,translation_delta,rotation_delta_deg,translation_velocity,rotation_velocity_deg,linear_velocity,angular_velocity_deg_s,frame_id_delta,nearest_reference_rotation_deg,nearest_reference_translation,nearest_reference_angle,nearest_reference_id,reference_angle_min,reference_angle_mean,sharpness_proxy,sharpness_score,blur_proxy,num_visible_objects,num_instances,bbox_overlap_count,max_bbox_iou,num_overlapping_objects,max_bbox_overlap,mean_bbox_overlap,attribute_source
ycbv,test,48,000048,1,000048/000001,0,1,test/000048/rgb/000001.png,640,480,-0.031677025422232274,-0.017368816807616497,0.865056765056294,-0.031677025422232274,-0.017368816807616497,0.865056765056294,0.9351437424685832,0.06485625753141677,nan,nan,23236,21318,21729,206,128,132,192,0.083359375,0.070732421875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,3145.0246754724717,3145.0246754724717,3145.0246754724717,5,5,3,0.10472195913949398,3,0.10472195913949398,0.0541800637067398,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,1,000048/000001,1,6,test/000048/rgb/000001.png,640,480,0.019826959191155003,0.05652491050704691,0.8107227026810766,0.019826959191155003,0.05652491050704691,0.8107227026810766,0.9974096796182685,0.002590320381731459,nan,nan,7335,4794,7316,282,280,112,73,0.026614583333333334,0.023815104166666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,3171.610476800976,3171.610476800976,3171.610476800976,5,5,3,0.13182401390670917,3,0.13182401390670917,0.06258434372667479,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,1,000048/000001,2,14,test/000048/rgb/000001.png,640,480,-0.023310093543898354,-0.11262940453072957,0.8481679482820954,-0.023310093543898354,-0.11262940453072957,0.8481679482820954,0.9969778649023932,0.0030221350976068484,nan,nan,12243,10658,12206,209,45,137,113,0.05039388020833333,0.03973307291666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,2114.8337280178635,2114.8337280178635,2114.8337280178635,5,5,2,0.10472195913949398,2,0.10472195913949398,0.03144023578481456,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,1,000048/000001,3,19,test/000048/rgb/000001.png,640,480,0.052335993715210444,-0.013031296641365195,0.8615899289137006,0.052335993715210444,-0.013031296641365195,0.8615899289137006,0.9818085947798576,0.018191405220142398,nan,nan,7586,5142,7448,329,116,90,213,0.06240234375,0.024244791666666668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,2772.339625985652,2772.339625985652,2772.339625985652,5,5,3,0.13182401390670917,3,0.13182401390670917,0.04831251009925193,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,1,000048/000001,4,20,test/000048/rgb/000001.png,640,480,-0.02498442834314123,0.09109670661036116,0.685170819763342,-0.02498442834314123,0.09109670661036116,0.685170819763342,0.999281781182667,0.0007182188173330273,nan,nan,25062,16519,25044,92,332,349,127,0.14428059895833334,0.0815234375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,594.4027067021236,594.4027067021236,594.4027067021236,5,5,1,0.04690210780305901,1,0.04690210780305901,0.011725526950764752,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,36,000048/000036,0,1,test/000048/rgb/000036.png,640,480,-0.04754392055014297,-0.020624979740453273,0.8573694396811589,-0.04754392055014297,-0.020624979740453273,0.8573694396811589,0.9419062539695982,0.05809374603040185,nan,nan,23617,21257,22245,186,124,132,192,0.083359375,0.072412109375,0.017929192103061795,1.1258643047809715,nan,nan,nan,nan,35,nan,nan,nan,,nan,nan,2949.3726578357287,2949.3726578357287,2949.3726578357287,5,5,3,0.0957664548098675,3,0.0957664548098675,0.04985876128908008,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,36,000048/000036,1,6,test/000048/rgb/000036.png,640,480,0.003517734961917874,0.053767402260639995,0.8032989808314162,0.003517734961917874,0.053767402260639995,0.8032989808314162,1.0,0.0,nan,nan,7411,4406,7411,260,277,113,73,0.026852213541666666,0.024124348958333333,0.018130259038129145,1.1260193899319741,nan,nan,nan,nan,35,nan,nan,nan,,nan,nan,2921.461735029153,2921.461735029153,2921.461735029153,5,5,3,0.1299572398759118,3,0.1299572398759118,0.06393191267473097,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,36,000048/000036,2,14,test/000048/rgb/000036.png,640,480,-0.037571287630148165,-0.11582934553753682,0.841044974335238,-0.037571287630148165,-0.11582934553753682,0.841044974335238,0.9978241598839552,0.0021758401160447693,nan,nan,12409,11153,12382,191,40,137,112,0.04994791666666667,0.04030598958333333,0.01625909090510116,1.1253092275251213,nan,nan,nan,nan,35,nan,nan,nan,,nan,nan,2110.538842344886,2110.538842344886,2110.538842344886,5,5,2,0.0957664548098675,2,0.0957664548098675,0.02903616253521583,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,36,000048/000036,3,19,test/000048/rgb/000036.png,640,480,0.036431813052732936,-0.015061671846474433,0.854889665423068,0.036431813052732936,-0.015061671846474433,0.854889665423068,0.994432936302434,0.005567063697565988,nan,nan,7724,5485,7681,311,112,87,215,0.060888671875,0.025003255208333332,0.017376965122314934,1.1277395665927703,nan,nan,nan,nan,35,nan,nan,nan,,nan,nan,2637.4015732554,2637.4015732554,2637.4015732554,5,5,4,0.1299572398759118,4,0.1299572398759118,0.04579321814752441,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
ycbv,test,48,000048,36,000048/000036,4,20,test/000048/rgb/000036.png,640,480,-0.040279859474891974,0.0870849679017978,0.6770522075201466,-0.040279859474891974,0.0870849679017978,0.6770522075201466,0.9954951425885302,0.004504857411469776,nan,nan,25528,18324,25413,63,326,355,127,0.14676106770833333,0.082724609375,0.017775154731458128,1.125538175590666,nan,nan,nan,nan,35,nan,nan,nan,,nan,nan,557.3342332607115,557.3342332607115,557.3342332607115,5,5,2,0.053573545098968826,2,0.053573545098968826,0.013734814464937331,"{""clutter"": ""scene_gt_info_visible_bboxes"", ""motion"": ""delta_between_available_BOP_frames"", ""occlusion_truncation"": ""missing_not_separable_from_BOP_fields"", ""pose"": ""scene_gt.json"", ""reference_gap"": ""missing_no_reference_manifest"", ""sharpness_proxy"": ""RGB_crop_grayscale_laplacian_variance"", ""velocity"": ""missing_no_timestamp_or_fps"", ""visibility_scale_bbox"": ""scene_gt_info.json""}"
